선수명,ID,season_2010,season_2011,season_2012,season_2013,season_2014,season_2015,season_2016,season_2017,season_2018,season_2019,season_2020
추재현,68362,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,키움,롯데
카도쿠라,79854,SK,삼성,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
카리대,63465,소속팀없음,소속팀없음,소속팀없음,삼성,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
카스티요,66750,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,한화,소속팀없음,소속팀없음,소속팀없음,소속팀없음
카페얀,60726,한화,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
칸투,64203,소속팀없음,소속팀없음,소속팀없음,소속팀없음,두산,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
켈리,69103,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,LG,LG
켈리,65856,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,SK,SK,SK,SK,소속팀없음,소속팀없음
코리,61541,소속팀없음,롯데,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
코엘로,66323,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,키움,소속팀없음,소속팀없음,소속팀없음,소속팀없음
코프랜드,66154,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,LG,소속팀없음,소속팀없음,소속팀없음,소속팀없음
콜론,60697,기아,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
쿠에바스,69032,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,KT,KT
크루세타,79435,삼성,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
클락,78725,키움,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
클레이,64761,소속팀없음,소속팀없음,소속팀없음,소속팀없음,한화,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
클로이드,65425,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,삼성,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
킹엄,50815,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,SK
타투스코,64762,소속팀없음,소속팀없음,소속팀없음,소속팀없음,한화,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
탈보트,62451,소속팀없음,소속팀없음,삼성,소속팀없음,소속팀없음,한화,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
터너,69640,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,기아,소속팀없음
터커,69652,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,기아,기아
테임즈,64914,소속팀없음,소속팀없음,소속팀없음,소속팀없음,NC,NC,NC,소속팀없음,소속팀없음,소속팀없음,소속팀없음
토마스,64659,소속팀없음,소속팀없음,소속팀없음,소속팀없음,기아,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
톰슨,69550,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,롯데,소속팀없음
트레비스,61629,소속팀없음,기아,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
티포드,64136,소속팀없음,소속팀없음,소속팀없음,소속팀없음,LG,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
파레디스,68244,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,두산,소속팀없음,소속팀없음
팔카,50469,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,삼성
팻딘,67645,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,기아,기아,소속팀없음,소속팀없음
페게로,69165,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,LG,소속팀없음
페르난데스,69209,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,두산,두산
페르난도,61231,소속팀없음,두산,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
페트릭,67435,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,삼성,소속팀없음,소속팀없음,소속팀없음
폭스,65762,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,한화,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
프록터,62230,소속팀없음,소속팀없음,두산,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음
프리드릭,69953,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,NC,소속팀없음
플란데,66423,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,소속팀없음,삼성,소속팀없음,소속팀없음,소속팀없음,소속팀없음
