,경기날짜,선수명,포지션,팀,더블헤더여부,홈팀,원정팀,1,2,3,4,5,6,7,8,9,10,11,12,안타,타수,타율,타점,득점
43,2018-03-28,양성우,타좌,한화,0,NC,한화,0,0,0,0,0,0,0,1008,0,0.0,0.0,0.0,1,1,0.333,1,1
44,2018-03-28,최재훈,포,한화,0,NC,한화,0,7101,0,0,7102,0,7006,3000,0,0.0,0.0,0.0,0,3,0.083,0,0
45,2018-03-29,이용규,중,한화,0,NC,한화,7006,0,3000,0,0,1011,0,7304,0,0.0,0.0,0.0,1,3,0.3,0,1
46,2018-03-29,정근우,二,한화,0,NC,한화,7101,0,6000,0,0,1019,0,7400,0,0.0,0.0,0.0,1,4,0.158,0,0
47,2018-03-29,하주석,유,한화,0,NC,한화,2000,0,7005,0,0,7407,0,1023,0,0.0,0.0,0.0,1,4,0.286,0,0
48,2018-03-29,김태균,一,한화,0,NC,한화,0,7300,0,7102,0,1017,0,2000,0,0.0,0.0,0.0,1,4,0.364,1,0
49,2018-03-29,최진행,지,한화,0,NC,한화,0,7102,0,7102,0,7208,0,0,2000,0.0,0.0,0.0,0,4,0.222,0,0
50,2018-03-29,양성우,좌,한화,0,NC,한화,0,1110,0,7405,0,0,7004,0,7003,0.0,0.0,0.0,1,4,0.316,0,0
51,2018-03-29,호잉,우,한화,0,NC,한화,0,7003,0,0,7002,0,7101,0,1110,0.0,0.0,0.0,1,4,0.45,0,0
52,2018-03-29,오선진,三,한화,0,NC,한화,0,0,7104,0,2000,0,3000,0,7104,0.0,0.0,0.0,0,3,0.0,0,0
53,2018-03-29,지성준,포,한화,0,NC,한화,0,0,7101,0,7003,0,7003,0,0,0.0,0.0,0.0,0,3,0.25,0,0
54,2018-03-29,최재훈,포,한화,0,NC,한화,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.083,0,0
55,2018-03-30,정진기,중,SK,0,한화,SK,7100,0,2000,0,1011,2000,0,0,7102,0.0,0.0,0.0,1,5,0.3,0,1
56,2018-03-30,한동민,우,SK,0,한화,SK,2000,0,0,3000,7006,0,7002,0,3000,0.0,0.0,0.0,0,3,0.318,0,1
57,2018-03-30,최정,三,SK,0,한화,SK,2000,0,0,7100,3000,0,2000,0,2000,0.0,0.0,0.0,0,4,0.25,0,1
58,2018-03-30,로맥,一,SK,0,한화,SK,0,1304,0,3000,1019,0,3000,0,0,0.0,0.0,0.0,2,2,0.381,2,3
59,2018-03-30,김동엽,좌,SK,0,한화,SK,0,7400,0,1017,1304,0,7402,0,0,0.0,0.0,0.0,2,4,0.421,4,2
60,2018-03-30,노수광,좌,SK,0,한화,SK,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.167,0,0
61,2018-03-30,최승준,지,SK,0,한화,SK,0,2000,0,3000,2000,0,0,2000,0,0.0,0.0,0.0,0,3,0.125,0,0
62,2018-03-30,나주환,유,SK,0,한화,SK,0,2000,0,7104,0,1017,0,2000,0,0.0,0.0,0.0,1,4,0.25,1,0
63,2018-03-30,이재원,포,SK,0,한화,SK,0,0,2000,2000,0,2000,0,7003,0,0.0,0.0,0.0,0,4,0.176,0,0
64,2018-03-30,김성현,二,SK,0,한화,SK,0,0,7006,0,2000,7303,0,0,7305,0.0,0.0,0.0,0,4,0.091,0,0
65,2018-03-31,정진기,중,SK,0,한화,SK,3000,0,7102,0,1011,3000,0,7107,0,0.0,0.0,0.0,1,3,0.304,0,1
66,2018-03-31,나주환,유,SK,0,한화,SK,7104,0,7107,0,7221,3100,0,0,0,0.0,0.0,0.0,0,3,0.222,0,1
67,2018-03-31,박승욱,주유,SK,0,한화,SK,0,0,0,0,0,0,0,1011,0,0.0,0.0,0.0,1,1,0.5,0,0
68,2018-03-31,최정,三,SK,0,한화,SK,7001,0,3100,0,3200,7102,0,2000,0,0.0,0.0,0.0,0,3,0.222,0,1
69,2018-03-31,로맥,一,SK,0,한화,SK,1019,0,2000,0,1303,0,2000,2000,0,0.0,0.0,0.0,2,5,0.385,4,2
70,2018-03-31,김동엽,좌,SK,0,한화,SK,1303,0,0,2000,7101,0,2000,0,1116,0.0,0.0,0.0,2,5,0.417,3,1
71,2018-03-31,노수광,주좌,SK,0,한화,SK,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.167,0,1
72,2018-03-31,한동민,지,SK,0,한화,SK,2000,0,0,7104,0,6001,1019,0,0,0.0,0.0,0.0,1,4,0.308,0,1
73,2018-03-31,최항,타,SK,0,한화,SK,0,0,0,0,0,0,0,0,1116,0.0,0.0,0.0,1,1,0.462,1,1
74,2018-03-31,정의윤,우,SK,0,한화,SK,0,7101,0,7104,0,1011,7003,0,7006,0.0,0.0,0.0,1,5,0.067,0,0
75,2018-03-31,이재원,포,SK,0,한화,SK,0,1017,0,0,3000,1019,0,0,0,0.0,0.0,0.0,2,2,0.263,0,0
76,2018-03-31,이성우,포,SK,0,한화,SK,0,0,0,0,0,0,0,1022,7104,0.0,0.0,0.0,1,2,0.25,1,1
77,2018-03-31,김성현,二,SK,0,한화,SK,0,7206,0,0,3000,7212,0,1303,7101,0.0,0.0,0.0,1,4,0.133,2,2
78,2018-04-01,노수광,우,SK,0,한화,SK,2000,7405,0,7100,7100,0,1019,0,7101,0.0,0.0,0.0,1,6,0.167,0,1
79,2018-04-01,정진기,중,SK,0,한화,SK,7005,0,1117,7003,0,1019,1302,0,0,0.0,0.0,0.0,3,5,0.357,3,3
80,2018-04-01,이성우,포,SK,0,한화,SK,0,0,0,0,0,0,0,0,7008,0.0,0.0,0.0,0,1,0.2,0,0
81,2018-04-01,최정,지,SK,0,한화,SK,1301,0,7102,0,1303,3000,2000,0,1303,0.0,0.0,0.0,3,5,0.281,3,3
82,2018-04-01,로맥,三,SK,0,한화,SK,7104,0,3000,0,3000,7003,0,1303,2000,0.0,0.0,0.0,1,4,0.367,1,2
83,2018-04-01,김동엽,좌중,SK,0,한화,SK,0,2000,7305,0,7003,5002,0,7006,0,0.0,0.0,0.0,0,4,0.357,1,0
84,2018-04-01,최항,二,SK,0,한화,SK,0,1118,1011,0,3000,7100,0,3000,0,0.0,0.0,0.0,2,3,0.5,1,2
85,2018-04-01,최승준,一,SK,0,한화,SK,0,7003,7003,0,1304,0,7003,7005,0,0.0,0.0,0.0,1,5,0.154,3,1
86,2018-04-01,박승욱,유,SK,0,한화,SK,0,1011,0,6000,7003,0,3000,1116,0,0.0,0.0,0.0,2,4,0.5,1,1
87,2018-04-01,이재원,포,SK,0,한화,SK,0,1019,0,7003,1017,0,2000,0,0,0.0,0.0,0.0,2,4,0.304,0,0
88,2018-04-01,정의윤,좌,SK,0,한화,SK,0,0,0,0,0,0,0,7104,0,0.0,0.0,0.0,0,1,0.063,0,0
89,2018-04-03,손아섭,우,롯데,0,한화,롯데,7104,0,1011,1116,1017,0,1303,0,2000,0.0,0.0,0.0,4,6,0.343,3,2
90,2018-04-03,김문호,좌,롯데,0,한화,롯데,2000,0,7206,1000,7104,0,1017,0,2000,0.0,0.0,0.0,2,6,0.25,2,1
91,2018-04-03,민병헌,중,롯데,0,한화,롯데,1017,0,3000,6002,3000,0,7001,0,2000,0.0,0.0,0.0,1,4,0.257,0,1
92,2018-04-03,이대호,지,롯데,0,한화,롯데,2000,0,2000,3100,7104,0,3000,0,0,0.0,0.0,0.0,0,3,0.206,0,1
93,2018-04-03,채태인,一,롯데,0,한화,롯데,0,7005,0,11181017,0,7005,2000,0,0,0.0,0.0,0.0,2,5,0.182,2,1
94,2018-04-03,번즈,二,롯데,0,한화,롯데,0,7001,0,20001008,0,2000,2000,0,0,0.0,0.0,0.0,1,5,0.212,0,0
95,2018-04-03,한동희,三,롯데,0,한화,롯데,0,7100,0,10177102,0,1012,0,0,0,0.0,0.0,0.0,2,4,0.313,1,1
96,2018-04-03,문규현,유,롯데,0,한화,롯데,0,0,0,0,0,0,0,7107,0,0.0,0.0,0.0,0,1,0.077,0,0
97,2018-04-03,신본기,유三,롯데,0,한화,롯데,0,0,3000,10172000,0,1018,0,7100,0,0.0,0.0,0.0,2,4,0.353,0,2
98,2018-04-03,김사훈,포,롯데,0,한화,롯데,0,0,1116,0,0,0,0,0,0,0.0,0.0,0.0,1,1,0.667,1,1
99,2018-04-03,이병규,타,롯데,0,한화,롯데,0,0,0,3000,0,0,0,0,0,0.0,0.0,0.0,0,0,0.3,1,1
