,year,month,day,week,팀,승패,i_1,i_2,i_3,i_4,i_5,i_6,i_7,i_8,i_9,i_10,i_11,i_12,R,H,E,B,홈팀,원정팀,더블헤더
0,2010,3,27,5,기아,패,0,0,0,2,0,1,0,0,0,-1,-1,-1,3,6,1,3,기아,두산,0
1,2010,3,27,5,두산,승,0,0,6,0,0,0,1,1,-1,-1,-1,-1,8,13,1,3,기아,두산,0
2,2010,3,27,5,한화,패,2,0,0,0,0,0,0,0,0,-1,-1,-1,2,10,0,2,한화,SK,0
3,2010,3,27,5,SK,승,2,1,0,0,0,0,0,0,-1,-1,-1,-1,3,6,0,4,한화,SK,0
4,2010,3,27,5,LG,승,1,0,0,0,3,0,0,0,1,0,2,-1,7,11,0,3,LG,삼성,0
5,2010,3,27,5,삼성,패,0,0,0,2,0,1,0,2,0,0,0,-1,5,9,1,12,LG,삼성,0
6,2010,3,27,5,키움,승,1,2,0,0,0,0,0,0,0,-1,-1,-1,3,6,0,4,키움,롯데,0
7,2010,3,27,5,롯데,패,0,0,0,2,0,0,0,0,0,-1,-1,-1,2,10,1,3,키움,롯데,0
8,2010,3,28,6,한화,패,2,0,0,0,0,0,1,0,0,-1,-1,-1,3,7,1,9,한화,SK,0
9,2010,3,28,6,SK,승,1,0,1,0,0,3,0,1,-1,-1,-1,-1,6,9,1,7,한화,SK,0
10,2010,3,28,6,LG,패,3,0,0,0,0,0,0,1,0,-1,-1,-1,4,10,1,3,LG,삼성,0
11,2010,3,28,6,삼성,승,0,1,4,1,3,0,0,0,-1,-1,-1,-1,9,14,1,6,LG,삼성,0
12,2010,3,28,6,키움,승,0,0,2,0,0,2,7,0,0,-1,-1,-1,11,19,2,4,키움,롯데,0
13,2010,3,28,6,롯데,패,0,0,0,1,0,1,0,1,0,-1,-1,-1,3,6,1,4,키움,롯데,0
14,2010,3,28,6,기아,패,5,1,0,2,1,0,0,0,0,-1,-1,-1,9,16,0,3,기아,두산,0
15,2010,3,28,6,두산,승,0,1,5,0,4,0,0,0,-1,-1,-1,-1,10,15,1,8,기아,두산,0
16,2010,3,30,1,SK,승,0,0,3,0,0,0,0,0,0,-1,-1,-1,3,8,2,3,SK,LG,0
17,2010,3,30,1,LG,패,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,4,1,1,SK,LG,0
18,2010,3,30,1,두산,승,0,2,0,2,1,1,1,0,0,-1,-1,-1,7,9,0,5,두산,키움,0
19,2010,3,30,1,키움,패,0,0,0,0,1,0,0,0,1,-1,-1,-1,2,5,1,1,두산,키움,0
20,2010,3,30,1,롯데,패,0,0,0,3,0,0,0,0,0,-1,-1,-1,3,8,4,4,롯데,한화,0
21,2010,3,30,1,한화,승,2,0,1,2,0,1,4,3,-1,-1,-1,-1,13,13,0,9,롯데,한화,0
22,2010,3,30,1,삼성,승,0,0,0,6,0,0,0,0,0,-1,-1,-1,6,6,1,8,삼성,기아,0
23,2010,3,30,1,기아,패,1,0,0,0,0,0,0,0,0,-1,-1,-1,1,5,0,6,삼성,기아,0
24,2010,3,31,2,삼성,패,1,0,0,0,0,0,0,0,1,-1,-1,-1,2,11,1,2,삼성,기아,0
25,2010,3,31,2,기아,승,1,0,0,0,0,2,0,1,-1,-1,-1,-1,4,8,0,3,삼성,기아,0
26,2010,4,2,4,키움,승,0,4,1,0,9,0,0,0,0,-1,-1,-1,14,15,0,7,키움,LG,0
27,2010,4,2,4,LG,패,0,0,0,0,0,0,0,3,2,-1,-1,-1,5,9,0,10,키움,LG,0
28,2010,4,2,4,두산,승,0,0,0,1,0,2,2,3,2,-1,-1,-1,10,12,0,8,두산,SK,0
29,2010,4,2,4,SK,패,0,0,0,0,2,0,0,0,1,-1,-1,-1,3,7,0,4,두산,SK,0
30,2010,4,2,4,삼성,승,0,1,1,0,1,5,0,0,0,-1,-1,-1,8,11,1,8,삼성,한화,0
31,2010,4,2,4,한화,패,0,0,0,0,0,0,1,0,0,-1,-1,-1,1,8,4,5,삼성,한화,0
32,2010,4,2,4,롯데,패,0,0,0,0,0,1,0,1,0,-1,-1,-1,2,9,2,2,롯데,기아,0
33,2010,4,2,4,기아,승,0,2,0,0,0,1,0,0,-1,-1,-1,-1,3,4,0,6,롯데,기아,0
34,2010,4,3,5,롯데,패,0,1,0,1,0,0,0,0,0,-1,-1,-1,2,5,2,1,롯데,기아,0
35,2010,4,3,5,기아,승,2,0,0,1,0,0,0,1,-1,-1,-1,-1,4,11,0,1,롯데,기아,0
36,2010,4,3,5,키움,패,0,1,0,0,0,1,2,0,0,0,0,-1,4,12,1,6,키움,LG,0
37,2010,4,3,5,LG,승,4,0,0,0,0,0,0,0,0,0,1,-1,5,9,0,5,키움,LG,0
38,2010,4,3,5,두산,패,0,0,0,2,0,0,0,0,3,-1,-1,-1,5,8,0,4,두산,SK,0
39,2010,4,3,5,SK,승,1,0,1,1,3,0,0,0,-1,-1,-1,-1,6,12,2,7,두산,SK,0
40,2010,4,3,5,삼성,패,0,0,0,3,0,1,0,5,0,-1,-1,-1,9,13,3,5,삼성,한화,0
41,2010,4,3,5,한화,승,2,4,0,0,1,0,4,0,-1,-1,-1,-1,11,12,0,8,삼성,한화,0
42,2010,4,4,6,두산,승,3,1,0,0,1,0,0,3,0,-1,-1,-1,8,15,0,3,두산,SK,0
43,2010,4,4,6,SK,패,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,2,0,1,두산,SK,0
